position_level,company_name,salary,url,description,longitude,latitude,created_at,category,year,month,city,region,job_type,401k,health_insurance,dental,vision,parental_leave,python_r,data_analysis,sql,excel,tableau_bi,statistics,problem_solving,remote,job_roles
Mid,LifeBridge Health,80512.78,https://www.adzuna.com/land/ad/5608411306?se=LCzRKJ0d8RGbRszfCN2rcw&utm_medium=api&utm_source=008fe363&v=41ED1B80F80A5D9B8EC50D4680D555EF1D9D14C6,"HR BUSINESS PARTNER / ANALYST Baltimore, MD SINAI HOSPITAL HUMAN RESOURCES-LBH Full-time - Day shift - 8:30am-5:00pm PROFESSIONAL 93337 $39.14-$58.71 Experience based Posted: January 21, 2026 Apply Now Save Job Saved Summary SUMMARY: The HR Business Partner is part of the HR Compliance team and will focus heavily on Compliance initiatives including auditing, reporting, data integrity, policy updates and corporate communications around HR or policy updates. The HRBP is the primary point of conta…",-76.60944,39.29688,2026-02-01 02:37:35+00:00,HR & Recruitment Jobs,2026,2,East Case,Baltimore,Full Time,False,False,False,False,False,0,0,0,0,0,0,0,False,business analyst
Senior,Incline P&C Group,103370.0,https://www.adzuna.com/land/ad/5649597352?se=LCzRKJ0d8RGbRszfCN2rcw&utm_medium=api&utm_source=008fe363&v=E92ADD49ED1B2752CA10682B36464B1ACD7DF753,"About Incline P&C Group Incline P&C Group is a privately owned company, backed by private equity and its original founders, with an exclusive focus on the property and casualty program insurance market. The company writes approximately $2 billion in premiums through its A-rated and managed carriers. Incline has a team of over 100 employees headquartered in Austin, Texas. About the Actuarial Team Incline’s Actuarial team supports more than 50 General Agents across 45 states and over 10 lines of …",-97.958803,30.325478,2026-03-01 02:23:18+00:00,Accounting & Finance Jobs,2026,3,Village of The Hills,Travis County,Contract,True,False,False,False,False,0,0,0,0,0,0,0,False,other analyst
Lead,Middle River Aerostructure Systems,141300.0,https://www.adzuna.com/land/ad/5650076347?se=LCzRKJ0d8RGbRszfCN2rcw&utm_medium=api&utm_source=008fe363&v=31A6C1719766E10435F49D249406D37020CF6FD2,"Position Title: Lead Proposal Analyst Location: Baltimore, MD, US, 21220 Company Name: STENA Description: Who YOU are and what YOU can become : As a Lead Proposal Analyst, you will be responsible for managing end-to-end proposal development, including planning, resource estimation, RFP analysis, and pricing strategy. Collaborates cross-functionally to craft compelling, compliant responses with clear win themes and value propositions. Supports business development through volume leadership, writ…",-76.62372,39.29592,2026-03-01 08:28:48+00:00,Engineering Jobs,2026,3,Baltimore,Baltimore County,Contract,True,False,False,False,False,0,0,1,0,0,0,0,False,other analyst
Mid,Fairfax Water,140812.0,https://www.adzuna.com/land/ad/5648087480?se=LCzRKJ0d8RGbRszfCN2rcw&utm_medium=api&utm_source=008fe363&v=9ADB24A6231B6F4B0B8E3426BE0838FD143CA038,"The SAP Business Process Analyst III will act as both a functional and technical expert and is responsible for leading and supporting Human Capital Management (HCM) solutions with a strong focus on SAP HR, particularly U.S. Payroll and Time Management. Adept at optimizing end to end workflows, reducing payroll errors, improving data accuracy, and strengthen compliance. Recognized for strong problem-solving skills, effective cross-functional collaboration, and driving continuous improvement init…",-77.260113,38.855719,2026-02-27 20:00:11+00:00,IT Jobs,2026,2,Merrifield,Fairfax County,Contract,False,False,False,False,False,0,0,0,0,0,0,1,False,other analyst
Senior,"Berkeley Research Group, LLC",135000.0,https://www.adzuna.com/land/ad/5657617582?se=LCzRKJ0d8RGbRszfCN2rcw&utm_medium=api&utm_source=008fe363&v=28814074D22D1F7DF2A9F171BB313E535F6D64BB,"BRG is an Equal Employment Opportunity/Affirmative Action Employer. All qualified candidates will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability, or protected veteran status. Position Title: Senior Financial Analyst Location: Boston, MA Position Type: Full time Requisition ID: JR100086 Description: We do Consulting Differently The BRG Corporate Finance practice specializes in providing strategic…",-71.0691,42.3575,2026-03-07 08:44:48+00:00,Consultancy Jobs,2026,3,Boston,Suffolk County,Full Time,False,False,False,False,False,0,0,0,0,0,0,0,False,financial analyst
Mid,Hope Network Behavioral Health,65985.66,https://www.adzuna.com/details/5645032850?utm_medium=api&utm_source=008fe363,Behavior Analyst We are helping people overcome. Join us. The Behavior Analyst (BCBA) is responsible for developing appropriate programs and behavior intervention plans as well as supervising their implementation. The Behavior Analyst develops comprehensive and focused treatment plans for children based on medical necessity for the remediation of the deficits of the child’s autism diagnosis. The Behavior Analyst continually monitors their assigned teams and each learner’s progress in order to p…,-85.058476,42.452418,2026-02-25 13:32:42+00:00,Healthcare & Nursing Jobs,2026,2,Bellevue,Eaton County,Contract,True,False,False,False,False,0,0,0,0,0,0,0,False,behavior analyst
Mid,Hope Network Behavioral Health,64203.36,https://www.adzuna.com/details/5645032957?utm_medium=api&utm_source=008fe363,Behavior Analyst We are helping people overcome. Join us. The Behavior Analyst (BCBA) is responsible for developing appropriate programs and behavior intervention plans as well as supervising their implementation. The Behavior Analyst develops comprehensive and focused treatment plans for children based on medical necessity for the remediation of the deficits of the child’s autism diagnosis. The Behavior Analyst continually monitors their assigned teams and each learner’s progress in order to p…,-84.465867,42.38798,2026-02-25 13:32:43+00:00,Healthcare & Nursing Jobs,2026,2,Rives Junction,Jackson County,Contract,True,False,False,False,False,0,0,0,0,0,0,0,False,behavior analyst
Mid,Hope Network Behavioral Health,61846.96,https://www.adzuna.com/details/5645032870?utm_medium=api&utm_source=008fe363,Behavior Analyst We are helping people overcome. Join us. The Behavior Analyst (BCBA) is responsible for developing appropriate programs and behavior intervention plans as well as supervising their implementation. The Behavior Analyst develops comprehensive and focused treatment plans for children based on medical necessity for the remediation of the deficits of the child’s autism diagnosis. The Behavior Analyst continually monitors their assigned teams and each learner’s progress in order to p…,-84.584292,42.278004,2026-02-25 13:32:42+00:00,Healthcare & Nursing Jobs,2026,2,Parma,Jackson County,Contract,True,False,False,False,False,0,0,0,0,0,0,0,False,behavior analyst
Mid,Hope Network Behavioral Health,71204.36,https://www.adzuna.com/details/5645032878?utm_medium=api&utm_source=008fe363,Behavior Analyst We are helping people overcome. Join us. The Behavior Analyst (BCBA) is responsible for developing appropriate programs and behavior intervention plans as well as supervising their implementation. The Behavior Analyst develops comprehensive and focused treatment plans for children based on medical necessity for the remediation of the deficits of the child’s autism diagnosis. The Behavior Analyst continually monitors their assigned teams and each learner’s progress in order to p…,-84.180547,43.001916,2026-02-25 13:32:42+00:00,Healthcare & Nursing Jobs,2026,2,Corunna,Shiawassee County,Contract,True,False,False,False,False,0,0,0,0,0,0,0,False,behavior analyst
Mid,Hope Network Behavioral Health,51248.73,https://www.adzuna.com/details/5642818615?utm_medium=api&utm_source=008fe363,Behavior Analyst We are helping people overcome. Join us. The Behavior Analyst (BCBA) is responsible for developing appropriate programs and behavior intervention plans as well as supervising their implementation. The Behavior Analyst develops comprehensive and focused treatment plans for children based on medical necessity for the remediation of the deficits of the child’s autism diagnosis. The Behavior Analyst continually monitors their assigned teams and each learner’s progress in order to p…,-84.453706,42.57869,2026-02-23 15:04:58+00:00,Healthcare & Nursing Jobs,2026,2,Mason,Ingham County,Contract,True,False,False,False,False,0,0,0,0,0,0,0,False,behavior analyst
